rank,name,country_name,country_id,active,value
58,Mats Wilander,Sweden,SWE,false,0.686
59,Andrei Cherkasov,Russian Federation,RUS,false,0.686
60,Thierry Champion,France,FRA,false,0.685
61,John Van Lottum,Netherlands,NED,false,0.684
62,Luis Herrera,Mexico,MEX,false,0.684
63,Slava Dosedel,Czech Republic,CZE,false,0.684
64,Horst Skoff,Austria,AUT,false,0.681
65,Guillermo Perez Roldan,Argentina,ARG,false,0.680
66,Julian Alonso,Spain,ESP,false,0.680
67,Carlos Berlocq,Argentina,ARG,false,0.679
68,Markus Hipfl,Austria,AUT,false,0.679
69,Patrick McEnroe,United States,USA,false,0.679
70,Emilio Benfele Alvarez,Spain,ESP,false,0.678
71,Rogerio Dutra Silva,Brazil,BRA,false,0.678
72,Frederico Gil,Portugal,POR,false,0.677
73,Jonas Svensson,Sweden,SWE,false,0.676
74,Rodolphe Gilbert,France,FRA,false,0.676
75,Franco Squillari,Argentina,ARG,false,0.676
76,Wayne Odesnik,United States,USA,false,0.675
77,Galo Blanco,Spain,ESP,false,0.675
78,Harel Levy,Israel,ISR,false,0.674
79,Tim Smyczek,United States,USA,true,0.674
80,Ivo Heuberger,Switzerland,SUI,false,0.673
81,Alberto Berasategui,Spain,ESP,false,0.673
82,Yoshihito Nishioka,Japan,JPN,true,0.673
83,Tomas Zib,Czech Republic,CZE,false,0.672
84,Bjorn Phau,Germany,GER,false,0.670
85,Jean Philippe Fleurian,France,FRA,false,0.670
86,Fabrice Santoro,France,FRA,false,0.669
87,Alex Bogomolov Jr,Russian Federation,RUS,false,0.668
88,Tobias Kamke,Germany,GER,true,0.668
89,Ricardo Mello,Brazil,BRA,false,0.668
90,Damir Dzumhur,Bosnia and Herzegovina,BIH,true,0.667
91,Jaime Yzaga,Peru,PER,false,0.666
92,Andrea Gaudenzi,Italy,ITA,false,0.665
93,Arnaud Di Pasquale,France,FRA,false,0.664
94,Alex Antonitsch,Austria,AUT,false,0.663
95,Alejandro Falla,Colombia,COL,false,0.663
96,Bohdan Ulihrach,Czech Republic,CZE,false,0.662
97,Somdev Devvarman,India,IND,false,0.662
98,Gabriel Markus,Argentina,ARG,false,0.661
99,George Bastl,Switzerland,SUI,false,0.661
100,Stefan Koubek,Austria,AUT,false,0.661
101,Andreas Vinciguerra,Sweden,SWE,false,0.661
102,Donald Young,United States,USA,true,0.659
103,Lars Burgsmuller,Germany,GER,false,0.658
104,Thomas Fabbiano,Italy,ITA,true,0.658
105,Bernd Karbacher,Germany,GER,false,0.656
106,Gianluca Pozzi,Italy,ITA,false,0.655
107,Mark Petchey,United Kingdom,GBR,false,0.654
108,Marinko Matosevic,Australia,AUS,false,0.653
109,Michael Joyce,United States,USA,false,0.651
110,Michel Kratochvil,Switzerland,SUI,false,0.651
111,Fabio Fognini,Italy,ITA,true,0.651
112,Mikhail Kukushkin,Kazakhstan,KAZ,true,0.651
113,Goran Prpic,Croatia,CRO,false,0.650
114,Vincent Spadea,United States,USA,false,0.650
115,Andrew Ilie,Australia,AUS,false,0.649
116,Olivier Patience,France,FRA,false,0.648
117,Jeff Tarango,United States,USA,false,0.648
118,Gaston Gaudio,Argentina,ARG,false,0.647
119,Michael Russell,United States,USA,false,0.646
120,Martin Klizan,Slovakia,SVK,true,0.646
121,Simon Greul,Germany,GER,false,0.645
122,Renzo Furlan,Italy,ITA,false,0.645
123,Fernando Meligeni,Brazil,BRA,false,0.645
124,Jordi Burillo,Spain,ESP,false,0.644
125,Teymuraz Gabashvili,Russian Federation,RUS,false,0.644
126,Christian Bergstrom,Sweden,SWE,false,0.644
127,Malek Jaziri,Tunisia,TUN,true,0.643
128,Dudi Sela,Israel,ISR,true,0.643
129,Olivier Rochus,Belgium,BEL,false,0.640
130,Florent Serra,France,FRA,false,0.640
131,Paul Capdeville,Chile,CHI,false,0.640
