ARG,Mariano Zabaleta,0.635,N
CRO,Marin Cilic,0.593,A
AUS,Marinko Matosevic,0.535,N
CRO,Mario Ancic,0.556,N
ROU,Marius Copil,0.4,A
GBR,Mark Petchey,0.531,N
AUS,Mark Philippoussis,0.497,N
AUS,Mark Woodforde,0.623,N
AUT,Markus Hipfl,0.641,N
GER,Markus Zoecke,0.428,N
TUR,Marsel Ilhan,0.444,A
CZE,Martin Damm,0.492,N
SVK,Martin Klizan,0.576,A
GER,Martin Sinner,0.492,N
ARG,Martin Vassallo Arguello,0.523,N
NED,Martin Verkerk,0.409,N
SWE,Mats Wilander,0.598,N
AUS,Matthew Ebden,0.512,A
COL,Mauricio Hadad,0.667,N
BLR,Max Mirnyi,0.438,N
ARG,Maximo Gonzalez,0.589,N
GER,Michael Berrer,0.466,N
USA,Michael Chang,0.718,N
USA,Michael Joyce,0.565,N
FRA,Michael Llodra,0.467,N
USA,Michael Russell,0.556,N
GER,Michael Stich,0.578,N
AUS,Michael Tebbutt,0.521,N
POL,Michal Przysiezny,0.39,N
CZE,Michal Tabara,0.639,N
SUI,Michel Kratochvil,0.607,N
SWE,Mikael Tillstrom,0.6,N
KAZ,Mikhail Kukushkin,0.558,A
RUS,Mikhail Youzhny,0.613,A
CAN,Milos Raonic,0.44,A
GER,Mischa Zverev,0.521,A
RSA,Neville Godwin,0.523,N
AUS,Nick Kyrgios,0.442,A
SWE,Nicklas Kulti,0.568,N
ESP,Nicolas Almagro,0.562,A
FRA,Nicolas Escude,0.614,N
GER,Nicolas Kiefer,0.595,N
ECU,Nicolas Lapentti,0.615,N
FRA,Nicolas Mahut,0.445,A
CHI,Nicolas Massu,0.586,N
VEN,Nicolas Pereira,0.459,N
RUS,Nikolay Davydenko,0.686,N
RUS,Nikoloz Basilashvili,0.583,A
SRB,Novak Djokovic,0.726,A
POR,Nuno Marques,0.521,N
GER,Oliver Gross,0.625,N
FRA,Olivier Delaitre,0.57,N
FRA,Olivier Patience,0.54,N
BEL,Olivier Rochus,0.584,N
ITA,Omar Camporese,0.525,N
ESP,Oscar Hernandez,0.54,N
ESP,Pablo Andujar,0.641,A
ESP,Pablo Carreno Busta,0.585,A
URU,Pablo Cuevas,0.521,A
ITA,Paolo Lorenzi,0.528,A
THA,Paradorn Srichaphan,0.535,N
GER,Patrick Baur,0.541,N
USA,Patrick McEnroe,0.644,N
AUS,Patrick Rafter,0.564,N
GER,Patrik Kuhnen,0.512,N
CHI,Paul Capdeville,0.56,N
USA,Paul Goldstein,0.628,N
NED,Paul Haarhuis,0.556,N
FRA,Paul Henri Mathieu,0.535,A
USA,Pete Sampras,0.591,N
GER,Peter Gojowczyk,0.494,A
AUS,Peter Luczak,0.436,N
NED,Peter Wessels,0.422,N
CZE,Petr Korda,0.685,N
GER,Philipp Kohlschreiber,0.554,A
GER,Philipp Petzschner,0.504,N
FRA,Pierre Hugues Herbert,0.39,A
ITA,Potito Starace,0.532,N
CZE,Radek Stepanek,0.562,N
MDA,Radu Albot,0.6,A
NED,Raemon Sluiter,0.471,N
ESP,Rafael Nadal,0.74,A
GER,Rainer Schuettler,0.607,N
USA,Rajeev Ram,0.414,N
PAR,Ramon Delgado,0.52,N
ITA,Renzo Furlan,0.639,N
LTU,Ricardas Berankis,0.53,A
BRA,Ricardo Mello,0.508,N
AUS,Richard Fromberg,0.541,N
FRA,Richard Gasquet,0.614,A
NED,Richard Krajicek,0.537,N
USA,Richey Reneberg,0.638,N
USA,Robby Ginepri,0.574,N
USA,Robert Kendrick,0.423,N
ESP,Roberto Bautista Agut,0.629,A
NED,Robin Haase,0.53,A
SWE,Robin Soderling,0.561,N
FRA,Rodolphe Gilbert,0.567,N
SUI,Roger Federer,0.651,A
BRA,Rogerio Dutra Silva,0.51,A
USA,Ronald Agenor,0.602,N
ESP,Ruben Ramirez Hidalgo,0.529,N
USA,Ryan Harrison,0.464,A
USA,Ryan Sweeting,0.52,N
USA,Sam Querrey,0.475,A
AUS,Samuel Groth,0.319,A
AUS,Sandon Stolle,0.56,N
COL,Santiago Giraldo,0.538,A
ESP,Santiago Ventura,0.546,N
ARM,Sargis Sargsian,0.577,N
AUS,Scott Draper,0.471,N
FRA,Sebastien Grosjean,0.645,N
CAN,Sebastien Lareau,0.544,N
ESP,Sergi Bruguera,0.699,N
UKR,Sergiy Stakhovsky,0.503,A
JPN,Shuzo Matsuoka,0.473,N
GER,Simon Greul,0.497,N
ITA,Simone Bolelli,0.427,A
NED,Sjeng Schalken,0.606,N
CZE,Slava Dosedel,0.718,N
IND,Somdev Devvarman,0.567,N
SUI,Stan Wawrinka,0.586,A
SWE,Stefan Edberg,0.698,N
AUT,Stefan Koubek,0.583,N
ITA,Stefano Pescosolido,0.592,N
FRA,Stephane Robert,0.541,A
FRA,Stephane Simian,0.47,N
BEL,Steve Darcis,0.522,A
USA,Steve Johnson,0.454,A
JPN,Taro Daniel,0.519,A
USA,Taylor Dent,0.534,N
USA,Taylor Harry Fritz,0.521,A
RUS,Teymuraz Gabashvili,0.524,A
NED,Thiemo De Bakker,0.432,A
FRA,Thierry Champion,0.626,N
SWE,Thomas Enqvist,0.64,N
SWE,Thomas Johansson,0.541,N
AUT,Thomas Muster,0.706,N
BRA,Thomaz Bellucci,0.551,A
GBR,Tim Henman,0.634,N
USA,Tim Smyczek,0.537,A
GER,Tobias Kamke,0.61,N
USA,Todd Martin,0.559,N
AUS,Todd Woodbridge,0.624,N
GER,Tomas Behrend,0.556,N
CZE,Tomas Berdych,0.578,A
ESP,Tomas Carbonell,0.685,N
CZE,Tomas Zib,0.479,N
GER,Tommy Haas,0.585,N
USA,Tommy Ho,0.513,N
ESP,Tommy Robredo,0.618,A
CAN,Vasek Pospisil,0.414,A
DOM,Victor Estrella,0.428,A
ROU,Victor Hanescu,0.508,N
SRB,Viktor Troicki,0.578,A
USA,Vincent Spadea,0.602,N
BLR,Vladimir Voltchkov,0.539,N
AUS,Wally Masur,0.543,N
AUS,Wayne Arthurs,0.33,N
ZIM,Wayne Black,0.585,N
RSA,Wayne Ferreira,0.608,N
USA,Wayne Odesnik,0.559,N
RSA,Wesley Moodie,0.378,N
BEL,Xavier Malisse,0.586,N
TPE,Yen Hsun Lu,0.514,A
RUS,Yevgeny Kafelnikov,0.65,N
MAR,Younes El Aynaoui,0.534,N
JPN,Yuichi Sugita,0.493,A
